HEK_new1,HEK_new3,HELA_new1,HELA_new3
0.398406375,5.172413793,1.041666667,6.379310345
0.675675676,11.00917431,1.204819277,6.142857143
2.564102564,52.41779497,1.428571429,42.31343284
1.498127341,3.703703704,0.387596899,6.183431953
2.222222222,7.513416816,1.136363636,6.25
1.008403361,10.28938907,1.25,6.041666667
2.93040293,6.315789474,1.754385965,7.272727273
0.613496933,6.357758621,1.226993865,6.242236025
1.62601626,4.6875,0.81300813,8.846153846
0.401606426,7.216494845,0.877192982,5.714285714
0.490797546,1.886792453,0.729927007,5.735294118
0.248447205,6.734006734,1,6.408450704
1.104972376,3.81097561,0.757575758,5.784313725
0.980392157,5.749718151,72.59259259,5.714285714
1.98019802,7.977207977,0.934579439,6.25
0.826446281,4.057971014,1.923076923,5.806451613
2.16802168,5.882352941,0.73800738,6.492537313
1.129943503,7.272727273,0.925925926,5.598802395
1.078167116,9.302325581,1.234567901,5.930232558
1.526717557,8.352668213,0.427350427,105
2.702702703,9.090909091,0.534759358,5.536193029
0.668896321,7.142857143,1.666666667,5.99009901
0.316455696,4.381694255,1.515151515,5.54200542
0.803212851,4.926108374,0.85106383,6.290322581
0.675675676,5.373134328,1.136363636,5.290697674
0.27027027,1.515151515,2.197802198,5.694444444
1.746724891,7.168458781,1.526717557,6.666666667
0.896057348,1.923076923,0.925925926,105
1.57480315,7.197943445,1.333333333,6.834862385
1.353179973,5.263157895,2.272727273,6.212121212
0.923076923,6.542056075,0.909090909,5.961538462
1.268498943,8.743169399,0.416666667,6.587301587
0.557103064,12.83783784,0.934579439,11.49253731
0.802139037,5,0.793650794,12.94117647
1.046025105,4.975124378,0.56022409,11.42857143
1.470588235,5.136986301,1.290322581,10.91743119
0.975609756,3.225806452,0.462962963,13.44827586
1.098901099,10,2.040816327,10.44843049
0.459770115,7.741935484,1.639344262,11.26582278
3.314917127,4.301075269,0.909090909,12.77777778
0.386847195,4.38247012,1.169590643,12.3255814
1,5,0.437636761,11.88679245
3.095975232,7.142857143,0.405679513,11.30718954
1.178781925,9.330143541,0.432900433,13.77358491
1.455604076,7.971014493,0.5,11.66666667
1.648351648,7.830342577,0.298062593,12.77777778
1.801801802,6.682577566,0.78125,12.63157895
0.795228628,4.790419162,0.36101083,10.68027211
0.845665962,5.650319829,0.649350649,12.63157895
0.444444444,6.712328767,1.01010101,13.44827586
1.664355062,2.941176471,1.818181818,11.47058824
1.395348837,6.561085973,0.615384615,
0.461361015,5.042016807,26.3546798,
1.156069364,10,0.938967136,
2.43902439,3.355704698,1.063829787,
1.063829787,5.445544554,0.581395349,
0.803212851,8.520179372,0.666666667,
2.06185567,9.756097561,0.722021661,
0.925925926,3.100775194,0.680272109,
1.465201465,6.451612903,1.351351351,
2.5,3.726708075,2.666666667,
0.8,8.333333333,1.052631579,
0.917431193,4.464285714,1.498127341,
2.325581395,3.463203463,0.662251656,
2.912621359,8.695652174,0.751879699,
0.829875519,6.060606061,1.716738197,
0.947867299,2.787456446,1.098901099,
1.886792453,9.964412811,0.638977636,
1.069518717,7.666666667,2.105263158,
0.632911392,8.130081301,0.392927308,
1.183431953,5.970149254,0.515463918,
0.772200772,7.68,0.531914894,
0.441501104,5.583756345,0.816326531,
1.606425703,7.75862069,0.529100529,
